"N","Time","avg(f)","max(Y)"
1,39.298,141.23,241.5
1,39.347,141.01,241.5
1,39.396,140.73,241.5
1,39.445,140.42,241.5
1,39.494,140.1,241.5
1,39.543,139.82,241.5
1,39.592,139.46,241.5
1,39.641,139.13,241.5
1,39.69,144.01,241.5
1,39.739,143.23,241.5
1,39.788,142.55,241.5
1,39.837,141.95,241.5
1,39.886,141.41,241.5
1,39.935,142.12,241.5
1,39.984,141.68,241.5
1,40.033,141.24,241.5
1,40.082,140.75,241.5
1,40.131,140.46,241.5
1,40.18,140.15,241.5
1,40.229,139.83,241.5
1,40.278,139.51,241.5
1,40.327,140.9,241.5
1,40.376,140.34,241.5
1,40.425,139.87,241.5
1,40.474,140.55,241.5
1,40.523,140.22,241.5
1,40.572,139.88,241.5
1,40.621,139.54,241.5
1,40.67,139.22,241.5
1,40.719,143.55,241.5
1,40.768,142.82,241.5
1,40.817,142.17,241.5
1,40.866,141.54,241.5
1,40.915,141.07,241.5
1,40.964,140.63,241.5
1,41.013,140.22,241.5
1,41.062,139.83,241.5
1,41.111,141.23,241.5
1,41.16,140.59,241.5
1,41.209,140.08,241.5
1,41.258,141.19,241.5
1,41.307,140.81,241.5
1,41.356,140.42,241.5
1,41.405,140.05,241.5
1,41.454,139.68,241.5
1,41.503,143.59,241.5
1,41.552,142.86,241.5
1,41.601,142.21,241.5
1,41.65,141.63,241.5
1,41.699,141.11,241.5
1,41.748,140.64,241.5
1,41.797,140.21,241.5
1,41.846,139.81,241.5
1,41.895,139.49,241.5
1,41.944,139.1,241.5
1,41.993,138.76,241.5
1,42.042,138.44,241.5
1,42.091,138.16,241.5
1,42.14,137.89,241.5
1,42.189,137.64,241.5
1,42.238,137.4,241.5
1,42.287,140.8,241.5
1,42.336,140.3,241.5
1,42.385,139.84,241.5
1,42.434,139.41,241.5
1,42.483,139.01,241.5
1,42.532,139.98,241.5
1,42.581,139.54,241.5
1,42.63,139.13,241.5
1,42.679,140.36,241.5
1,42.728,139.95,241.5
1,42.777,139.54,241.5
1,42.826,139.14,241.5
1,42.875,138.76,241.5
1,42.924,138.31,241.5
1,42.973,138.09,241.5
1,43.022,137.86,241.5
1,43.071,140.9,241.5
1,43.12,140.41,241.5
1,43.169,139.95,241.5
1,43.218,139.51,241.5
1,43.267,139.11,241.5
1,43.316,139.94,241.5
1,43.365,139.49,241.5
1,43.414,139.08,241.5
1,43.463,140.13,241.5
1,43.512,139.73,241.5
1,43.561,139.33,241.5
1,43.61,138.94,241.5
1,43.659,138.58,241.5
1,43.708,138.25,241.5
1,43.757,137.95,241.5
1,43.806,137.66,241.5
1,43.855,138.46,241.5
1,43.904,138.12,241.5
1,43.953,137.8,241.5
1,44.002,137.51,241.5
1,44.051,137.23,241.5
1,44.1,139.72,241.5
1,44.149,139.25,241.5
1,44.198,138.83,241.5
1,44.247,138.45,241.5
1,44.296,138.11,241.5
1,44.345,137.79,241.5
1,44.394,137.49,241.5
1,44.443,137.2,241.5
1,44.492,137.54,241.5
1,44.541,137.36,241.5
1,44.59,137.15,241.5
1,44.639,137.85,241.5
1,44.688,137.56,241.5
1,44.737,137.28,241.5
1,44.786,137.01,241.5
1,44.835,136.76,241.5
1,44.884,138.91,241.5
1,44.933,138.46,241.5
1,44.982,138.06,241.5
